"_id","_created","_updated","_deleted","_etag","_creator","_updater","policy_key","role_key","scope"
a1917916-b768-4aa7-a227-18ea64aa8c13,"2025-11-17 10:29:20.898 +0700",,,,,,user-profile.organization.manage,OWNER,TENANT
"8989ef92-c763-4d09-a597-15b12f5648a4","2025-11-17 10:29:20.898 +0700",,,,,,user-profile.group.manage,OWNER,TENANT
bd228846-7c48-4b9a-9543-74931c2d4244,"2025-11-17 10:29:20.898 +0700",,,,,,user-profile.group.query,OWNER,TENANT
"5dc65452-ddad-4b2f-95af-afd76531dbff","2025-11-17 10:29:20.898 +0700",,,,,,user-profile.invitation.manage,OWNER,TENANT
a7d523bb-6d70-4c8a-a6d0-c76c5ce9c7e1,"2025-11-17 10:29:20.898 +0700",,,,,,user-profile.invitation.query,OWNER,TENANT
"83bdf50f-f5c7-41ec-b802-cf362fef221e","2025-11-17 10:29:20.898 +0700",,,,,,user-profile.organization.query,OWNER,TENANT
c300829d-2511-43ca-a98c-73bbaafaed18,"2025-11-17 10:29:20.898 +0700",,,,,,user-profile.user.manage,OWNER,TENANT
"76229791-7eac-4806-ac39-77f15e6b1acd","2025-11-17 10:29:20.898 +0700",,,,,,user-profile.user.query,OWNER,TENANT
"1775651e-ad7c-4cd6-8da6-6bf489a6aabc","2025-11-17 10:29:20.898 +0700",,,,,,user-profile.organization.manage,ADMIN,TENANT
"4a80a90c-cf3d-40e8-99c6-78494f8cd3be","2025-11-17 10:29:20.898 +0700",,,,,,user-profile.organization.query,ADMIN,TENANT
"6a1244ac-a6c1-44d2-ab87-1e9d8ab869c0","2025-11-17 10:29:20.898 +0700",,,,,,user-profile.user.self-access,self-access,TENANT
e3439423-75f3-4726-8009-fc9654a7fd56,"2025-11-17 10:29:20.898 +0700",,,,,,system.full-access,sys-admin,TENANT
"336b2000-b682-465e-b0cc-f1d550eeff92","2025-11-17 10:29:20.898 +0700",,,,,,user-profile.profile.query.user_mode,self-access,TENANT
c2350bec-c7c2-459c-9aaa-f82d7832ed7a,"2025-11-17 10:29:20.898 +0700",,,,,,user-profile.profile.query,OWNER,TENANT
"3d18a4c1-815b-411d-9903-688ca68c2d85","2025-11-17 10:29:20.898 +0700",,,,,,user-profile.profile.manage,OWNER,TENANT
c0bd8380-d6da-4562-b539-cf92f7d24096,"2025-11-17 10:29:20.898 +0700",,,,,,user-profile.profile.switch,self-access,TENANT
"7ed5e753-b445-4841-9992-cca34a24a818","2025-12-19 13:26:36.179 +0700",,,,"b92c48f6-51b6-43f3-a3a1-5bc5ac65edc2",,rfx-idm.user.manage,OWNER,TENANT
"2f28bca1-517c-4678-9e4d-f57e81919e6b","2025-12-19 13:26:36.184 +0700",,,,"96e18925-d213-4b33-a2e0-1c7b61517add",,rfx-idm.profile.query,OWNER,TENANT
"d10f4697-b951-461b-96c7-5fd846f570dc","2025-12-19 13:26:36.189 +0700",,,,"6616c2d7-e67a-428d-9e99-c76dd9ffcf11",,rfx-idm.profile.manage,OWNER,TENANT
"aea8854a-e1c3-487b-b7c0-72a26b45d9b6","2025-12-19 13:26:36.194 +0700",,,,"ee7384e0-6fb5-440c-b918-41a94a673720",,rfx-idm.organization.query,OWNER,TENANT
"a64e6c62-b699-45d6-9945-0b2dd50143b1","2025-12-19 13:26:36.198 +0700",,,,"7531f4bc-c158-4f7e-915c-80af351679c1",,rfx-idm.organization.manage,OWNER,TENANT
"43ead9c0-6577-422f-b647-30b3aa2bd4c9","2025-12-19 13:26:36.203 +0700",,,,"917e09e3-084b-4553-8807-d9b6f3ebb22d",,rfx-idm.invitation.query,OWNER,TENANT
"f8dc6c4d-db83-492e-b900-93b9f20582be","2025-12-19 13:26:36.208 +0700",,,,"6205d17f-5199-41d9-95fc-328b787e2db8",,rfx-idm.invitation.manage,OWNER,TENANT
"6dc166c1-d27a-4672-80ad-ba19129b525a","2025-12-19 13:26:36.213 +0700",,,,"4f7e4f4b-5c8e-4c11-952e-1fcb35775883",,rfx-idm.group.query,OWNER,TENANT
"b231423d-2441-4bf0-b0c4-300cb3345ca0","2025-12-19 13:26:36.217 +0700",,,,"d9ea46d0-0b64-4327-a955-8530182d6afa",,rfx-idm.group.manage,OWNER,TENANT
"4214dea9-0d8d-4223-93ef-826d892659bb","2025-12-19 13:28:47.957 +0700",,,,"f01b1caa-ca14-44eb-bf85-2db0d0027f34",,rfx-idm.user.query,OWNER,TENANT
